folder_name,file_name,model,mean_input_tokens,mean_output_tokens,concurrent_requests,results_ttft_s_mean,results_inter_token_latency_s_mean,results_end_to_end_latency_s_mean
unifiedcache,qwen3_4000_1000_1765884297555_summary.json,qwen3,4000,1000,1,0.2277605150011368,8.485628305949488,8.722065328998724
unifiedcache,qwen3_8000_1000_1765884310539_summary.json,qwen3,8000,1000,1,0.5877993789908942,8.370150255842844,8.966465570003493
unifiedcache,qwen3_16000_1000_1765884324891_summary.json,qwen3,16000,1000,1,0.6487536539934808,8.592697126946373,9.25042178700096
unifiedcache,qwen3_32000_1000_1765884751360_summary.json,qwen3,32000,1000,1,1.8207116159901489,9.180794588346444,11.010904109993135
unifiedcache,qwen3_4000_1000_1765884345346_summary.json,qwen3,4000,1000,8,1.3144935452473874,9.681627369201824,11.006113340374213
unifiedcache,qwen3_8000_1000_1765884371286_summary.json,qwen3,8000,1000,8,1.9643162831216614,10.673908750134984,12.649175239750548
unifiedcache,qwen3_16000_1000_1765884408512_summary.json,qwen3,16000,1000,8,3.560214134877242,13.03984482696102,16.613404988625916
unifiedcache,qwen3_32000_1000_1765884815947_summary.json,qwen3,32000,1000,8,6.785589459501352,17.977788450784523,24.78167578124885
unifiedcache,qwen3_4000_1000_1765884436987_summary.json,qwen3,4000,1000,16,2.489820841187793,11.347723530488512,13.849189668939289
unifiedcache,qwen3_8000_1000_1765884476309_summary.json,qwen3,8000,1000,16,3.032183230749979,14.578198876001629,17.625257303127
unifiedcache,qwen3_16000_1000_1765884538347_summary.json,qwen3,16000,1000,16,5.588650134813179,18.311466172441033,23.90848043718688
unifiedcache,qwen3_32000_1000_1765884935760_summary.json,qwen3,32000,1000,16,12.615410190502189,30.321533365494492,42.95631880100245
unifiedcache,qwen3_4000_1000_1765884571721_summary.json,qwen3,4000,1000,24,2.0989730887522455,12.653418317132065,14.765331638625867
unifiedcache,qwen3_8000_1000_1765884623103_summary.json,qwen3,8000,1000,24,4.225501390750044,15.822002528142187,20.06360745762504
unifiedcache,qwen3_16000_1000_1765884709759_summary.json,qwen3,16000,1000,24,7.767743766874749,23.584192071711456,31.364135509127056
unifiedcache,qwen3_32000_1000_1765885112966_summary.json,qwen3,32000,1000,24,21.59734659420974,42.28224011168332,63.91721204641848
