folder_name,file_name,model,mean_input_tokens,mean_output_tokens,concurrent_requests,results_ttft_s_mean,results_inter_token_latency_s_mean,results_end_to_end_latency_s_mean
llmperf,qwen3_4000_1000_1_1766071269790_summary.json,qwen3,4000,1000,1,0.25837491,8.231914319,8.498664805
llmperf,qwen3_4000_1000_1_1766068033490_summary.json,qwen3,4000,1000,1,0.08188686,8.255857581,8.346150567
llmperf,qwen3_4000_1000_1_1766065875481_summary.json,qwen3,4000,1000,1,0.27885838,8.269629313,8.556905334
llmperf,qwen3_4000_1000_1_1766064800708_summary.json,qwen3,4000,1000,1,0.28826031,8.311352183,8.608062012
llmperf,qwen3_4000_1000_1_1766066955969_summary.json,qwen3,4000,1000,1,0.095353844,8.243412506,8.347166159
llmperf,qwen3_4000_1000_1_1766062625391_summary.json,qwen3,4000,1000,1,0.085347437,8.303945057,8.397761525
llmperf,qwen3_4000_1000_1_1766070179165_summary.json,qwen3,4000,1000,1,0.109799473,8.283417571,8.401653484
llmperf,qwen3_4000_1000_1_1766063714394_summary.json,qwen3,4000,1000,1,0.185869981,8.339562217,8.5088939
llmperf,qwen3_4000_1000_1_1766061538467_summary.json,qwen3,4000,1000,1,0.480577345,8.226864209,8.715904223
llmperf,qwen3_4000_1000_1_1766069105820_summary.json,qwen3,4000,1000,1,0.09121918,8.319507762,8.419177526
llmperf,qwen3_8000_1000_1_1766069127339_summary.json,qwen3,8000,1000,1,0.124907325,8.402431925,8.535882517
llmperf,qwen3_8000_1000_1_1766071291403_summary.json,qwen3,8000,1000,1,0.117574267,8.340338341,8.466400308
llmperf,qwen3_8000_1000_1_1766063735983_summary.json,qwen3,8000,1000,1,0.118736683,8.358968598,8.486207138
llmperf,qwen3_8000_1000_1_1766066977480_summary.json,qwen3,8000,1000,1,0.133301615,8.358134725,8.499944066
llmperf,qwen3_8000_1000_1_1766070200621_summary.json,qwen3,8000,1000,1,0.123442268,8.39684812,8.528843765
llmperf,qwen3_8000_1000_1_1766065896773_summary.json,qwen3,8000,1000,1,0.11523807,8.381493068,8.505263107
llmperf,qwen3_8000_1000_1_1766062647229_summary.json,qwen3,8000,1000,1,0.131988171,8.380727767,8.521271493
